request;response
Hallo, ich habe mein Passwort vergessen und kann mich nicht mehr einloggen. Mein Benutzername ist 'MaxMuster'. Könnten Sie mir bitte ein neues Passwort zusenden?;{"Kategorie": "Password zurücksetzen","Antwort": "Hallo Max Muster, wir haben dein Passwort zurückgesetzt. Ein neues Passwort wurde an deine hinterlegte E-Mail-Adresse gesendet. Bitte prüfe deinen Posteingang und folge den Anweisungen, um dein Passwort zu ändern.","Vorname": "Max","Nachname": "Muster","Passwort": "Neues Passwort wurde gesendet","Benutzername": "MaxMuster"}
Ich möchte mich als neuer Benutzer im Buchungssystem registrieren. Mein Name ist Anna Schulz und mein gewünschter Benutzername lautet 'AnnaS'.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Anna Schulz, dein Benutzerkonto wurde erfolgreich erstellt. Du kannst dich nun mit deinem Benutzernamen 'AnnaS' und einem selbst gewählten Passwort im Buchungssystem einloggen.","Vorname": "Anna","Nachname": "Schulz","Passwort": "Selbst gewähltes Passwort","Benutzername": "AnnaS"}
Ich kann mich nicht einloggen, obwohl ich das richtige Passwort habe. Der Benutzername lautet 'TennisFreak99'. Bitte helfen Sie mir weiter!;{"Kategorie": "Sonstiges","Antwort": "Hallo, bitte prüfe, ob du den richtigen Benutzernamen 'TennisFreak99' und das Passwort korrekt eingibst. Solltest du weiterhin Probleme haben, kontaktiere uns erneut, um dein Konto zu überprüfen.","Vorname": "","Nachname": "","Passwort": "","Benutzername": "TennisFreak99"}
Ich möchte gerne mein Passwort zurücksetzen. Mein Benutzername ist 'Sportler22'.;{"Kategorie": "Password zurücksetzen","Antwort": "Hallo Sportler22, wir haben dein Passwort zurückgesetzt. Ein neues Passwort wurde an deine E-Mail-Adresse gesendet. Folge den Anweisungen in der E-Mail, um dein Passwort zu ändern.","Vorname": "","Nachname": "","Passwort": "Neues Passwort wurde gesendet","Benutzername": "Sportler22"}
Könnten Sie mir bitte einen neuen Benutzer anlegen? Mein Name ist Peter Meier, und ich möchte den Benutzernamen 'PeterM' verwenden.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Peter Meier, dein Benutzerkonto mit dem Benutzernamen 'PeterM' wurde erfolgreich erstellt. Du kannst dich nun mit deinem Benutzernamen und einem selbst gewählten Passwort anmelden.","Vorname": "Peter","Nachname": "Meier","Passwort": "Selbst gewähltes Passwort","Benutzername": "PeterM"}
Ich habe mein Passwort vergessen und benötige Hilfe beim Zurücksetzen. Mein Benutzername ist 'TennisFan23'.;{"Kategorie": "Password zurücksetzen","Antwort": "Hallo TennisFan23, wir haben dein Passwort zurückgesetzt. Du solltest in Kürze eine E-Mail mit einem neuen Passwort erhalten. Bitte folge den Anweisungen in der E-Mail.","Vorname": "","Nachname": "","Passwort": "Neues Passwort wurde gesendet","Benutzername": "TennisFan23"}
Ich möchte mich als neuer Benutzer anmelden. Mein Name ist Lisa Müller, und ich möchte den Benutzernamen 'L_Mueller' verwenden.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Lisa Müller, dein Benutzerkonto mit dem Benutzernamen 'L_Mueller' wurde erfolgreich erstellt. Du kannst dich nun mit deinem Benutzernamen und einem selbst gewählten Passwort anmelden.","Vorname": "Lisa","Nachname": "Müller","Passwort": "Selbst gewähltes Passwort","Benutzername": "L_Mueller"}
Ich kann mich mit meinem Benutzername 'HansG' nicht mehr einloggen. Könnten Sie mir bitte weiterhelfen?;{"Kategorie": "Sonstiges","Antwort": "Hallo Hans G., bitte versuche, dein Passwort zurückzusetzen. Falls dies nicht funktioniert, kontaktiere uns bitte erneut, damit wir dein Konto weiter überprüfen können.","Vorname": "Hans","Nachname": "G.","Passwort": "","Benutzername": "HansG"}
Ich möchte mein Passwort zurücksetzen. Der Benutzername ist 'Jan89'.;{"Kategorie": "Password zurücksetzen","Antwort": "Hallo Jan89, wir haben dein Passwort zurückgesetzt. Ein neues Passwort wurde an deine E-Mail-Adresse gesendet. Bitte überprüfe deinen Posteingang und folge den Anweisungen, um dein Passwort zu ändern.","Vorname": "","Nachname": "","Passwort": "Neues Passwort wurde gesendet","Benutzername": "Jan89"}
Ich würde gerne als neuer Benutzer im System angelegt werden. Mein Name ist Thomas Fischer und der gewünschte Benutzername ist 'ThomasFischer'.;{"Kategorie": "Benutzer anlegen","Antwort": "Hallo Thomas Fischer, dein Benutzerkonto mit dem Benutzernamen 'ThomasFischer' wurde erfolgreich erstellt. Du kannst dich nun mit deinem Benutzernamen und einem selbst gewählten Passwort anmelden.","Vorname": "Thomas","Nachname": "Fischer","Passwort": "Selbst gewähltes Passwort","Benutzername": "ThomasFischer"}
